Reference,Item number,Type,Word,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words
Roth (2007),1,Target,lover,5,3826525,0.001306668583
Roth (2007),1,Foil,lovely,160,3826525,0.04181339466
Roth (2007),2,Target,announcer,3,3826525,0.0007840011499
Roth (2007),2,Foil,announcement,7,3826525,0.001829336016
Roth (2007),3,Target,action,20,3826525,0.005226674332
Roth (2007),3,Foil,active,5,3826525,0.001306668583
Roth (2007),4,Target,enjoyable,1,3826525,0.0002613337166
Roth (2007),4,Foil,enjoyment,1,3826525,0.0002613337166
Roth (2007),5,Target,possession,0,3826525,0
Roth (2007),5,Foil,possessive,1,3826525,0.0002613337166
Roth (2007),6,Target,thickness,1,3826525,0.0002613337166
Roth (2007),6,Foil,thickly,0,3826525,0
Roth (2007),7,Target,possibility,8,3826525,0.002090669733
Roth (2007),7,Foil,possibly,34,3826525,0.008885346365
Roth (2007),8,Target,attraction,0,3826525,0
Roth (2007),8,Foil,attractive,4,3826525,0.001045334866
Roth (2007),9,Target,player,115,3826525,0.03005337741
Roth (2007),9,Foil,playful,14,3826525,0.003658672033
Roth (2007),10,Target,curiosity,3,3826525,0.0007840011499
Roth (2007),10,Foil,curiously,0,3826525,0
Roth (2007),11,Target,greatly,1,3826525,0.0002613337166
Roth (2007),11,Foil,greatness,1,3826525,0.0002613337166
Roth (2007),12,Target,helper,30,3826525,0.007840011499
Roth (2007),12,Foil,helpless,2,3826525,0.0005226674332
Roth (2007),13,Target,strength,11,3826525,0.002874670883
Roth (2007),13,Foil,strongly,3,3826525,0.0007840011499
Roth (2007),14,Target,movable,1,3826525,0.0002613337166
Roth (2007),14,Foil,movement,10,3826525,0.002613337166
Roth (2007),15,Target,eighth,25,3826525,0.006533342916
Roth (2007),15,Foil,eighty,53,3826525,0.01385068698
Roth (2007),16,Target,shyly,2,3826525,0.0005226674332
Roth (2007),16,Foil,shyness,0,3826525,0
Roth (2007),17,Target,truth,38,3826525,0.009930681232
Roth (2007),17,Foil,truly,9,3826525,0.00235200345
Roth (2007),18,Target,width,0,3826525,0
Roth (2007),18,Foil,widely,1,3826525,0.0002613337166
Roth (2007),19,Target,creation,4,3826525,0.001045334866
Roth (2007),19,Foil,creature,26,3826525,0.006794676632
Roth (2007),20,Target,desperation,4,3826525,0.001045334866
Roth (2007),20,Foil,desperately,6,3826525,0.0015680023
Singson et al. (2000),21,Target,operation,5,3826525,0.001306668583
Singson et al. (2000),21,Foil,operational,0,3826525,0
Singson et al. (2000),21,Foil,operative,0,3826525,0
Singson et al. (2000),21,Foil,operationalize,0,3826525,0
Singson et al. (2000),22,Target,gratify,0,3826525,0
Singson et al. (2000),22,Foil,grateful,3,3826525,0.0007840011499
Singson et al. (2000),22,Foil,gratuity,0,3826525,0
Singson et al. (2000),22,Foil,demonstrate,1,3826525,0.0002613337166
Singson et al. (2000),23,Target,demonstrate,1,3826525,0.0002613337166
Singson et al. (2000),23,Foil,demonstration,5,3826525,0.001306668583
Singson et al. (2000),23,Foil,demonstrative,0,3826525,0
Singson et al. (2000),23,Foil,demonstrable,0,3826525,0
Singson et al. (2000),24,Target,personality,2,3826525,0.0005226674332
Singson et al. (2000),24,Foil,personify,0,3826525,0
Singson et al. (2000),24,Foil,personalize,0,3826525,0
Singson et al. (2000),24,Foil,personal,6,3826525,0.0015680023
Singson et al. (2000),25,Target,productive,4,3826525,0.001045334866
Singson et al. (2000),25,Foil,productivity,0,3826525,0
Singson et al. (2000),25,Foil,production,3,3826525,0.0007840011499
Singson et al. (2000),25,Foil,produce,4,3826525,0.001045334866
Singson et al. (2000),26,Target,fertilize,0,3826525,0
Singson et al. (2000),26,Foil,fertilization,0,3826525,0
Singson et al. (2000),26,Foil,fertility,0,3826525,0
Singson et al. (2000),26,Foil,fertilizer,4,3826525,0.001045334866
Singson et al. (2000),27,Target,industrious,0,3826525,0
Singson et al. (2000),27,Foil,industrialization,0,3826525,0
Singson et al. (2000),27,Foil,industry,1,3826525,0.0002613337166
Singson et al. (2000),27,Foil,industrialize,0,3826525,0
Singson et al. (2000),28,Target,identical,2,3826525,0.0005226674332
Singson et al. (2000),28,Foil,identify,5,3826525,0.001306668583
Singson et al. (2000),28,Foil,identification,1,3826525,0.0002613337166
Singson et al. (2000),28,Foil,identity,5,3826525,0.001306668583
Singson et al. (2000),29,Target,activist,0,3826525,0
Singson et al. (2000),29,Foil,active,5,3826525,0.001306668583
Singson et al. (2000),29,Foil,activate,0,3826525,0
Singson et al. (2000),29,Foil,activize,0,3826525,0
Singson et al. (2000),30,Target,brightness,1,3826525,0.0002613337166
Singson et al. (2000),30,Foil,bright,119,3826525,0.03109871228
Singson et al. (2000),30,Foil,brighten,1,3826525,0.0002613337166
Singson et al. (2000),30,Foil,brightly,6,3826525,0.0015680023
Singson et al. (2000),31,Target,population,2,3826525,0.0005226674332
Singson et al. (2000),31,Foil,popular,9,3826525,0.00235200345
Singson et al. (2000),31,Foil,populate,0,3826525,0
Singson et al. (2000),31,Foil,popularize,0,3826525,0
Singson et al. (2000),32,Target,electricity,49,3826525,0.01280535211
Singson et al. (2000),32,Foil,electrify,0,3826525,0
Singson et al. (2000),32,Foil,electrical,5,3826525,0.001306668583
Singson et al. (2000),32,Foil,electric,48,3826525,0.0125440184
Singson et al. (2000),33,Target,regulate,3,3826525,0.0007840011499
Singson et al. (2000),33,Foil,regulation,0,3826525,0
Singson et al. (2000),33,Foil,regularity,0,3826525,0
Singson et al. (2000),33,Foil,regular,134,3826525,0.03501871803
Singson et al. (2000),34,Target,colonize,0,3826525,0
Singson et al. (2000),34,Foil,colonist,0,3826525,0
Singson et al. (2000),34,Foil,colonization,0,3826525,0
Singson et al. (2000),34,Foil,colonial,1,3826525,0.0002613337166
Singson et al. (2000),35,Target,glorious,4,3826525,0.001045334866
Singson et al. (2000),35,Foil,gloriousness,0,3826525,0
Singson et al. (2000),35,Foil,glorify,0,3826525,0
Singson et al. (2000),35,Foil,glorification,1,3826525,0.0002613337166
Singson et al. (2000),36,Target,deadness,0,3826525,0
Singson et al. (2000),36,Foil,dead,184,3826525,0.04808540386
Singson et al. (2000),36,Foil,deadly,0,3826525,0
Singson et al. (2000),36,Foil,deaden,0,3826525,0
Singson et al. (2000),37,Target,active,5,3826525,0.001306668583
Singson et al. (2000),37,Foil,activation,0,3826525,0
Singson et al. (2000),37,Foil,activity,13,3826525,0.003397338316
Singson et al. (2000),37,Foil,activate,0,3826525,0
Singson et al. (2000),38,Target,critical,0,3826525,0
Singson et al. (2000),38,Foil,critically,0,3826525,0
Singson et al. (2000),38,Foil,criticism,1,3826525,0.0002613337166
Singson et al. (2000),38,Foil,criticize,1,3826525,0.0002613337166
Singson et al. (2000),39,Target,conversationalist,1,3826525,0.0002613337166
Singson et al. (2000),39,Foil,conversational,0,3826525,0
Singson et al. (2000),39,Foil,converse,0,3826525,0
Singson et al. (2000),39,Foil,conversation,49,3826525,0.01280535211
Singson et al. (2000),40,Target,diversify,0,3826525,0
Singson et al. (2000),40,Foil,diversionary,0,3826525,0
Singson et al. (2000),40,Foil,diversity,0,3826525,0
Singson et al. (2000),40,Foil,diversion,0,3826525,0
Nagy et al. (2003),41,Target,directions,52,3826525,0.01358935326
Nagy et al. (2003),41,Foil,directs,0,3826525,0
Nagy et al. (2003),41,Foil,directing,1,3826525,0.0002613337166
Nagy et al. (2003),41,Foil,directed,5,3826525,0.001306668583
Nagy et al. (2003),42,Target,loveliest,0,3826525,0
Nagy et al. (2003),42,Foil,loving,12,3826525,0.003136004599
Nagy et al. (2003),42,Foil,lovingly,0,3826525,0
Nagy et al. (2003),42,Foil,loveliness,0,3826525,0
Nagy et al. (2003),43,Target,announcement,7,3826525,0.001829336016
Nagy et al. (2003),43,Foil,announce,3,3826525,0.0007840011499
Nagy et al. (2003),43,Foil,announcing,3,3826525,0.0007840011499
Nagy et al. (2003),43,Foil,announced,7,3826525,0.001829336016
Nagy et al. (2003),44,Target,quickness,0,3826525,0
Nagy et al. (2003),44,Foil,quicker,9,3826525,0.00235200345
Nagy et al. (2003),44,Foil,quickly,137,3826525,0.03580271918
Nagy et al. (2003),44,Foil,quickest,2,3826525,0.0005226674332
Nagy et al. (2003),45,Target,creation,4,3826525,0.001045334866
Nagy et al. (2003),45,Foil,creative,7,3826525,0.001829336016
Nagy et al. (2003),45,Foil,creator,0,3826525,0
Nagy et al. (2003),45,Foil,creates,0,3826525,0
James et al. (2021),96,Target,pick,1799,3826525,0.4701393562
James et al. (2021),96,Foil,picks,62,3826525,0.01620269043
James et al. (2021),96,Foil,pickes,0,3826525,0
James et al. (2021),96,Foil,picker,9,3826525,0.00235200345
James et al. (2021),97,Target,carry,371,3826525,0.09695480887
James et al. (2021),97,Foil,carries,37,3826525,0.009669347515
James et al. (2021),97,Foil,carried,60,3826525,0.015680023
James et al. (2021),97,Foil,carrying,176,3826525,0.04599473413
James et al. (2021),98,Target,laugh,133,3826525,0.03475738431
James et al. (2021),98,Foil,laughs,26,3826525,0.006794676632
James et al. (2021),98,Foil,laughing,191,3826525,0.04991473987
James et al. (2021),98,Foil,laugher,0,3826525,0
James et al. (2021),99,Target,plant,252,3826525,0.06585609659
James et al. (2021),99,Foil,plants,131,3826525,0.03423471688
James et al. (2021),99,Foil,planted,26,3826525,0.006794676632
James et al. (2021),99,Foil,plantes,0,3826525,0
James et al. (2021),100,Target,play,6421,3826525,1.678023794
James et al. (2021),100,Foil,plays,122,3826525,0.03188271343
James et al. (2021),100,Foil,playing,1649,3826525,0.4309392987
James et al. (2021),100,Foil,played,398,3826525,0.1040108192
James et al. (2021),101,Target,goose,132,3826525,0.03449605059
James et al. (2021),101,Foil,geese,30,3826525,0.007840011499
James et al. (2021),101,Foil,goosed,0,3826525,0
James et al. (2021),101,Foil,geeses,0,3826525,0
James et al. (2021),102,Target,fight,180,3826525,0.04704006899
James et al. (2021),102,Foil,fought,12,3826525,0.003136004599
James et al. (2021),102,Foil,fighted,1,3826525,0.0002613337166
James et al. (2021),102,Foil,fighting,124,3826525,0.03240538086
James et al. (2021),103,Target,bench,71,3826525,0.01855469388
James et al. (2021),103,Foil,benches,8,3826525,0.002090669733
