Reference,Item number,Type,Word,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words
Apel et al. (2012),1,Input,farm,446,3826525,0.1165548376
Apel et al. (2012),1,Target,farmer,203,3826525,0.05305074447
Apel et al. (2012),2,Input,ill,18,3826525,0.004704006899
Apel et al. (2012),2,Target,illness,3,3826525,0.0007840011499
Apel et al. (2012),3,Input,quick,275,3826525,0.07186677207
Apel et al. (2012),3,Target,quickly,137,3826525,0.03580271918
Apel et al. (2012),4,Input,nerve,4,3826525,0.001045334866
Apel et al. (2012),4,Target,nervous,41,3826525,0.01071468238
Apel et al. (2012),5,Input,five,1965,3826525,0.5135207532
Apel et al. (2012),5,Target,fifth,60,3826525,0.015680023
Apel et al. (2012),6,Input,swim,351,3826525,0.09172813453
Apel et al. (2012),6,Target,swimming,575,3826525,0.1502668871
Apel et al. (2012),7,Input,victory,2,3826525,0.0005226674332
Apel et al. (2012),7,Target,victorious,0,3826525,0
Apel et al. (2012),8,Input,music,507,3826525,0.1324961943
Apel et al. (2012),8,Target,musician,5,3826525,0.001306668583
Apel et al. (2012),9,Input,accept,5,3826525,0.001306668583
Apel et al. (2012),9,Target,acceptable,2,3826525,0.0005226674332
Apel et al. (2012),10,Input,begin,58,3826525,0.01515735556
Apel et al. (2012),10,Target,beginning,149,3826525,0.03893872378
Apel et al. (2012),11,Input,long,1937,3826525,0.5062034091
Apel et al. (2012),11,Target,length,10,3826525,0.002613337166
Apel et al. (2012),12,Input,friend,863,3826525,0.2255309974
Apel et al. (2012),12,Target,friendly,61,3826525,0.01594135671
Apel et al. (2012),13,Input,warm,476,3826525,0.1243948491
Apel et al. (2012),13,Target,warmth,3,3826525,0.0007840011499
Apel et al. (2012),14,Input,teach,162,3826525,0.04233606209
Apel et al. (2012),14,Target,teacher,418,3826525,0.1092374935
Apel et al. (2012),15,Input,permit,0,3826525,0
Apel et al. (2012),15,Target,permission,8,3826525,0.002090669733
Apel et al. (2012),16,Input,appear,11,3826525,0.002874670883
Apel et al. (2012),16,Target,appearance,1,3826525,0.0002613337166
Apel et al. (2012),17,Input,remark,0,3826525,0
Apel et al. (2012),17,Target,remarkable,3,3826525,0.0007840011499
Apel et al. (2012),18,Input,protect,54,3826525,0.0141120207
Apel et al. (2012),18,Target,protection,1,3826525,0.0002613337166
Apel et al. (2012),19,Input,revise,0,3826525,0
Apel et al. (2012),19,Target,revision,0,3826525,0
Apel et al. (2012),20,Input,deep,131,3826525,0.03423471688
Apel et al. (2012),20,Target,depth,0,3826525,0
Apel et al. (2012),21,Input,active,5,3826525,0.001306668583
Apel et al. (2012),21,Target,activity,13,3826525,0.003397338316
Apel et al. (2012),22,Input,wash,920,3826525,0.2404270193
Apel et al. (2012),22,Target,washer,12,3826525,0.003136004599
Carlisle (2000),25,Input,warm,476,3826525,0.1243948491
Carlisle (2000),25,Target,warmth,3,3826525,0.0007840011499
Carlisle (2000),26,Input,teach,162,3826525,0.04233606209
Carlisle (2000),26,Target,teacher,418,3826525,0.1092374935
Carlisle (2000),27,Input,permit,0,3826525,0
Carlisle (2000),27,Target,permission,8,3826525,0.002090669733
Carlisle (2000),28,Input,profit,1,3826525,0.0002613337166
Carlisle (2000),28,Target,profitable,0,3826525,0
Carlisle (2000),29,Input,appear,11,3826525,0.002874670883
Carlisle (2000),29,Target,appearance,1,3826525,0.0002613337166
Carlisle (2000),30,Input,express,28,3826525,0.007317344065
Carlisle (2000),30,Target,expression,14,3826525,0.003658672033
Carlisle (2000),31,Input,four,1855,3826525,0.4847740443
Carlisle (2000),31,Target,fourth,64,3826525,0.01672535786
Carlisle (2000),32,Input,remark,0,3826525,0
Carlisle (2000),32,Target,remarkable,3,3826525,0.0007840011499
Carlisle (2000),33,Input,protect,54,3826525,0.0141120207
Carlisle (2000),33,Target,protection,1,3826525,0.0002613337166
Carlisle (2000),34,Input,perform,11,3826525,0.002874670883
Carlisle (2000),34,Target,performance,9,3826525,0.00235200345
Carlisle (2000),35,Input,expand,0,3826525,0
Carlisle (2000),35,Target,expansion,0,3826525,0
Carlisle (2000),36,Input,revise,0,3826525,0
Carlisle (2000),36,Target,revision,0,3826525,0
Carlisle (2000),37,Input,reason,207,3826525,0.05409607934
Carlisle (2000),37,Target,reasonable,8,3826525,0.002090669733
Carlisle (2000),38,Input,major,0,3826525,0
