Reference,Item number,Type,Word,COCA Count,COCA Total Count,COCA Frequency per 1000 words
Roth (2007),1,Target,lover,56,5536628,0.010114459559139607
Roth (2007),1,Foil,lovely,271,5536628,0.04894675965226488
Roth (2007),2,Target,announcer,135,5536628,0.024383072151497265
Roth (2007),2,Foil,announcement,66,5536628,0.011920613051843106
Roth (2007),3,Target,action,489,5536628,0.0883209057932012
Roth (2007),3,Foil,active,252,5536628,0.04551506801612822
Roth (2007),4,Target,enjoyable,35,5536628,0.006321537224462254
Roth (2007),4,Foil,enjoyment,14,5536628,0.002528614889784902
Roth (2007),5,Target,possession,53,5536628,0.009572613511328557
Roth (2007),5,Foil,possessive,7,5536628,0.001264307444892451
Roth (2007),6,Target,thickness,16,5536628,0.0028898455883256016
Roth (2007),6,Foil,thickly,18,5536628,0.003251076286866302
Roth (2007),7,Target,possibility,84,5536628,0.01517168933870941
Roth (2007),7,Foil,possibly,210,5536628,0.037929223346773525
Roth (2007),8,Target,attraction,35,5536628,0.006321537224462254
Roth (2007),8,Foil,attractive,84,5536628,0.01517168933870941
Roth (2007),9,Target,player,492,5536628,0.08886275184101225
Roth (2007),9,Foil,playful,42,5536628,0.007585844669354705
Roth (2007),10,Target,curiosity,111,5536628,0.020048303769008863
Roth (2007),10,Foil,curiously,52,5536628,0.009391998162058206
Roth (2007),11,Target,greatly,62,5536628,0.011198151654761707
Roth (2007),11,Foil,greatness,22,5536628,0.003973537683947702
Roth (2007),12,Target,helper,51,5536628,0.009211382812787857
Roth (2007),12,Foil,helpless,51,5536628,0.009211382812787857
Roth (2007),13,Target,strength,439,5536628,0.0792901383296837
Roth (2007),13,Foil,strongly,43,5536628,0.007766460018625055
Roth (2007),14,Target,movable,5,5536628,0.0009030767463517505
Roth (2007),14,Foil,movement,244,5536628,0.04407014522196542
Roth (2007),15,Target,eighth,106,5536628,0.019145227022657113
Roth (2007),15,Foil,eighty,63,5536628,0.011378767004032056
Roth (2007),16,Target,shyly,36,5536628,0.006502152573732604
Roth (2007),16,Foil,shyness,19,5536628,0.003431691636136652
Roth (2007),17,Target,truth,547,5536628,0.09879659605088151
Roth (2007),17,Foil,truly,291,5536628,0.05255906663767188
Roth (2007),18,Target,width,26,5536628,0.004695999081029103
Roth (2007),18,Foil,widely,61,5536628,0.011017536305491356
Roth (2007),19,Target,creation,57,5536628,0.010295074908409958
Roth (2007),19,Foil,creature,382,5536628,0.06899506342127373
Roth (2007),20,Target,desperation,30,5536628,0.0054184604781105025
Roth (2007),20,Foil,desperately,100,5536628,0.018061534927035012
Singson et al. (2000),21,Target,operation,110,5536628,0.019867688419738513
Singson et al. (2000),21,Foil,operational,8,5536628,0.0014449227941628008
Singson et al. (2000),21,Foil,operative,5,5536628,0.0009030767463517505
Singson et al. (2000),21,Foil,operationalize,1,5536628,0.0001806153492703501
Singson et al. (2000),22,Target,gratify,0,5536628,0.0
Singson et al. (2000),22,Foil,grateful,163,5536628,0.02944030193106707
Singson et al. (2000),22,Foil,gratuity,0,5536628,0.0
Singson et al. (2000),22,Foil,demonstrate,60,5536628,0.010836920956221005
Singson et al. (2000),23,Target,demonstrate,60,5536628,0.010836920956221005
Singson et al. (2000),23,Foil,demonstration,56,5536628,0.010114459559139607
Singson et al. (2000),23,Foil,demonstrative,1,5536628,0.0001806153492703501
Singson et al. (2000),23,Foil,demonstrable,0,5536628,0.0
Singson et al. (2000),24,Target,personality,117,5536628,0.021131995864630965
Singson et al. (2000),24,Foil,personify,0,5536628,0.0
Singson et al. (2000),24,Foil,personalize,6,5536628,0.0010836920956221008
Singson et al. (2000),24,Foil,personal,400,5536628,0.07224613970814005
Singson et al. (2000),25,Target,productive,22,5536628,0.003973537683947702
Singson et al. (2000),25,Foil,productivity,6,5536628,0.0010836920956221008
Singson et al. (2000),25,Foil,production,76,5536628,0.013726766544546609
Singson et al. (2000),25,Foil,produce,124,5536628,0.022396303309523413
Singson et al. (2000),26,Target,fertilize,5,5536628,0.0009030767463517505
Singson et al. (2000),26,Foil,fertilization,13,5536628,0.0023479995405145514
Singson et al. (2000),26,Foil,fertility,28,5536628,0.005057229779569804
Singson et al. (2000),26,Foil,fertilizer,26,5536628,0.004695999081029103
Singson et al. (2000),27,Target,industrious,8,5536628,0.0014449227941628008
Singson et al. (2000),27,Foil,industrialization,0,5536628,0.0
Singson et al. (2000),27,Foil,industry,38,5536628,0.006863383272273304
Singson et al. (2000),27,Foil,industrialize,0,5536628,0.0
Singson et al. (2000),28,Target,identical,61,5536628,0.011017536305491356
Singson et al. (2000),28,Foil,identify,132,5536628,0.023841226103686212
Singson et al. (2000),28,Foil,identification,63,5536628,0.011378767004032056
Singson et al. (2000),28,Foil,identity,55,5536628,0.009933844209869256
Singson et al. (2000),29,Target,activist,12,5536628,0.0021673841912442015
Singson et al. (2000),29,Foil,active,252,5536628,0.04551506801612822
Singson et al. (2000),29,Foil,activate,14,5536628,0.002528614889784902
Singson et al. (2000),29,Foil,activize,0,5536628,0.0
Singson et al. (2000),30,Target,brightness,25,5536628,0.004515383731758753
Singson et al. (2000),30,Foil,bright,689,5536628,0.12444397564727123
Singson et al. (2000),30,Foil,brighten,26,5536628,0.004695999081029103
Singson et al. (2000),30,Foil,brightly,90,5536628,0.01625538143433151
Singson et al. (2000),31,Target,population,154,5536628,0.027814763787633916
Singson et al. (2000),31,Foil,popular,304,5536628,0.054907066178186435
Singson et al. (2000),31,Foil,populate,0,5536628,0.0
Singson et al. (2000),31,Foil,popularize,0,5536628,0.0
Singson et al. (2000),32,Target,electricity,82,5536628,0.01481045864016871
Singson et al. (2000),32,Foil,electrify,0,5536628,0.0
Singson et al. (2000),32,Foil,electrical,68,5536628,0.012281843750383808
Singson et al. (2000),32,Foil,electric,114,5536628,0.020590149816819916
Singson et al. (2000),33,Target,regulate,18,5536628,0.003251076286866302
