Reference,Item number,Type,Word,COCA Count,COCA Total Count,COCA Frequency per 1000 words
Apel et al. (2012),1,Input,farm,480,5536628,0.08669536764976804
Apel et al. (2012),1,Target,farmer,226,5536628,0.04081906893509913
Apel et al. (2012),2,Input,ill,296,5536628,0.05346214338402363
Apel et al. (2012),2,Target,illness,138,5536628,0.024924918199308314
Apel et al. (2012),3,Input,quick,708,5536628,0.12787566728340788
Apel et al. (2012),3,Target,quickly,1220,5536628,0.22035072610982714
Apel et al. (2012),4,Input,nerve,95,5536628,0.01715845818068326
Apel et al. (2012),4,Target,nervous,387,5536628,0.0698981401676255
Apel et al. (2012),5,Input,five,1920,5536628,0.34678147059907216
Apel et al. (2012),5,Target,fifth,255,5536628,0.04605691406393928
Apel et al. (2012),6,Input,swim,381,5536628,0.06881444807200339
Apel et al. (2012),6,Target,swimming,397,5536628,0.07170429366032899
Apel et al. (2012),7,Input,victory,176,5536628,0.03178830147158162
Apel et al. (2012),7,Target,victorious,12,5536628,0.0021673841912442015
Apel et al. (2012),8,Input,music,872,5536628,0.1574965845637453
Apel et al. (2012),8,Target,musician,40,5536628,0.007224613970814004
Apel et al. (2012),9,Input,accept,254,5536628,0.045876298714668924
Apel et al. (2012),9,Target,acceptable,51,5536628,0.009211382812787857
Apel et al. (2012),10,Input,begin,726,5536628,0.13112674357027418
Apel et al. (2012),10,Target,beginning,507,5536628,0.0915719820800675
Apel et al. (2012),11,Input,long,5091,5536628,0.9195127431353525
Apel et al. (2012),11,Target,length,252,5536628,0.04551506801612822
Apel et al. (2012),12,Input,friend,2595,5536628,0.46869683135655854
Apel et al. (2012),12,Target,friendly,303,5536628,0.054726450828916084
Apel et al. (2012),13,Input,warm,1030,5536628,0.18603380974846062
Apel et al. (2012),13,Target,warmth,125,5536628,0.022576918658793764
Apel et al. (2012),14,Input,teach,629,5536628,0.11360705469105022
Apel et al. (2012),14,Target,teacher,1116,5536628,0.20156672978571072
Apel et al. (2012),15,Input,permit,46,5536628,0.008308306066436105
Apel et al. (2012),15,Target,permission,177,5536628,0.03196891682085197
Apel et al. (2012),16,Input,appear,282,5536628,0.05093352849423873
Apel et al. (2012),16,Target,appearance,129,5536628,0.023299380055875164
Apel et al. (2012),17,Input,remark,51,5536628,0.009211382812787857
Apel et al. (2012),17,Target,remarkable,73,5536628,0.013184920496735558
Apel et al. (2012),18,Input,protect,509,5536628,0.0919332127786082
Apel et al. (2012),18,Target,protection,229,5536628,0.041360914982910175
Apel et al. (2012),19,Input,revise,5,5536628,0.0009030767463517505
Apel et al. (2012),19,Target,revision,2,5536628,0.0003612306985407002
Apel et al. (2012),20,Input,deep,1344,5536628,0.24274702941935056
Apel et al. (2012),20,Target,depth,44,5536628,0.007947075367895405
Apel et al. (2012),21,Input,active,252,5536628,0.04551506801612822
