Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words,COCA Count,COCA Total Count,COCA Frequency per 1000 words,Movies Count,Movies Total Count,Movies Frequency per 1000 words,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words,Average Frequency per 1000 Words
Roth (2007),1,Target,lover,0,199877,0.0,56,5536628,0.0101144595591396,2,66112,0.0302516940948693,5,3826525,0.001306668583,0.010418205559252224
Roth (2007),1,Foil,lovely,28,199877,0.1400861529840852,271,5536628,0.0489467596522648,4,66112,0.0605033881897386,160,3826525,0.04181339466,0.07283742387152214
Roth (2007),2,Target,announcer,2,199877,0.0100061537845775,135,5536628,0.0243830721514972,0,66112,0.0,3,3826525,0.0007840011499,0.008793306771493675
Roth (2007),2,Foil,announcement,1,199877,0.0050030768922887,66,5536628,0.0119206130518431,0,66112,0.0,7,3826525,0.001829336016,0.00468825649003295
Roth (2007),3,Target,action,5,199877,0.0250153844614437,489,5536628,0.0883209057932012,5,66112,0.0756292352371732,20,3826525,0.005226674332,0.04854804995595453
Roth (2007),3,Foil,active,1,199877,0.0050030768922887,252,5536628,0.0455150680161282,1,66112,0.0151258470474346,5,3826525,0.001306668583,0.016737665134712875
Roth (2007),4,Target,enjoyable,0,199877,0.0,35,5536628,0.0063215372244622,0,66112,0.0,1,3826525,0.0002613337166,0.00164571773526555
Roth (2007),4,Foil,enjoyment,0,199877,0.0,14,5536628,0.0025286148897849,0,66112,0.0,1,3826525,0.0002613337166,0.000697487151596225
Roth (2007),5,Target,possession,0,199877,0.0,53,5536628,0.0095726135113285,3,66112,0.0453775411423039,0,3826525,0.0,0.0137375386634081
Roth (2007),5,Foil,possessive,0,199877,0.0,7,5536628,0.0012643074448924,0,66112,0.0,1,3826525,0.0002613337166,0.00038141029037309996
Roth (2007),6,Target,thickness,0,199877,0.0,16,5536628,0.0028898455883256,0,66112,0.0,1,3826525,0.0002613337166,0.0007877948262314
Roth (2007),6,Foil,thickly,0,199877,0.0,18,5536628,0.0032510762868663,0,66112,0.0,0,3826525,0.0,0.000812769071716575
Roth (2007),7,Target,possibility,0,199877,0.0,84,5536628,0.0151716893387094,5,66112,0.0756292352371732,8,3826525,0.002090669733,0.02322289857722065
Roth (2007),7,Foil,possibly,6,199877,0.0300184613537325,210,5536628,0.0379292233467735,5,66112,0.0756292352371732,34,3826525,0.008885346365,0.03811556657566979
Roth (2007),8,Target,attraction,9,199877,0.0450276920305988,35,5536628,0.0063215372244622,1,66112,0.0151258470474346,0,3826525,0.0,0.0166187690756239
Roth (2007),8,Foil,attractive,0,199877,0.0,84,5536628,0.0151716893387094,0,66112,0.0,4,3826525,0.001045334866,0.00405425605117735
Roth (2007),9,Target,player,4,199877,0.020012307569155,492,5536628,0.0888627518410122,2,66112,0.0302516940948693,115,3826525,0.03005337741,0.042295032728759126
Roth (2007),9,Foil,playful,3,199877,0.0150092306768662,42,5536628,0.0075858446693547,0,66112,0.0,14,3826525,0.003658672033,0.006563436844805225
Roth (2007),10,Target,curiosity,0,199877,0.0,111,5536628,0.0200483037690088,2,66112,0.0302516940948693,3,3826525,0.0007840011499,0.012770999753444525
Roth (2007),10,Foil,curiously,1,199877,0.0050030768922887,52,5536628,0.0093919981620582,0,66112,0.0,0,3826525,0.0,0.003598768763586725
Roth (2007),11,Target,greatly,0,199877,0.0,62,5536628,0.0111981516547617,0,66112,0.0,1,3826525,0.0002613337166,0.002864871342840425
Roth (2007),11,Foil,greatness,0,199877,0.0,22,5536628,0.0039735376839477,1,66112,0.0151258470474346,1,3826525,0.0002613337166,0.004840179611995575
Roth (2007),12,Target,helper,1,199877,0.0050030768922887,51,5536628,0.0092113828127878,0,66112,0.0,30,3826525,0.007840011499,0.0055136178010191245
Roth (2007),12,Foil,helpless,0,199877,0.0,51,5536628,0.0092113828127878,1,66112,0.0151258470474346,2,3826525,0.0005226674332,0.0062149743233556
Roth (2007),13,Target,strength,1,199877,0.0050030768922887,439,5536628,0.0792901383296837,11,66112,0.1663843175217812,11,3826525,0.002874670883,0.06338805090668839
Roth (2007),13,Foil,strongly,0,199877,0.0,43,5536628,0.007766460018625,0,66112,0.0,3,3826525,0.0007840011499,0.00213761529213125
Roth (2007),14,Target,movable,0,199877,0.0,5,5536628,0.0009030767463517,0,66112,0.0,1,3826525,0.0002613337166,0.000291102615737925
Roth (2007),14,Foil,movement,2,199877,0.0100061537845775,244,5536628,0.0440701452219654,2,66112,0.0302516940948693,10,3826525,0.002613337166,0.02173533256685305
Roth (2007),15,Target,eighth,1,199877,0.0050030768922887,106,5536628,0.0191452270226571,0,66112,0.0,25,3826525,0.006533342916,0.0076704117077364495
Roth (2007),15,Foil,eighty,2,199877,0.0100061537845775,63,5536628,0.011378767004032,0,66112,0.0,53,3826525,0.01385068698,0.008808901942152374
Roth (2007),16,Target,shyly,0,199877,0.0,36,5536628,0.0065021525737326,0,66112,0.0,2,3826525,0.0005226674332,0.0017562050017331501
Roth (2007),16,Foil,shyness,0,199877,0.0,19,5536628,0.0034316916361366,0,66112,0.0,0,3826525,0.0,0.00085792290903415
Roth (2007),17,Target,truth,4,199877,0.020012307569155,547,5536628,0.0987965960508815,6,66112,0.0907550822846079,38,3826525,0.009930681232,0.05487366678416109
Roth (2007),17,Foil,truly,3,199877,0.0150092306768662,291,5536628,0.0525590666376718,6,66112,0.0907550822846079,9,3826525,0.00235200345,0.04016884576228647
Roth (2007),18,Target,width,0,199877,0.0,26,5536628,0.0046959990810291,0,66112,0.0,0,3826525,0.0,0.001173999770257275
Roth (2007),18,Foil,widely,0,199877,0.0,61,5536628,0.0110175363054913,1,66112,0.0151258470474346,1,3826525,0.0002613337166,0.006601179267381475
Roth (2007),19,Target,creation,0,199877,0.0,57,5536628,0.0102950749084099,0,66112,0.0,4,3826525,0.001045334866,0.002835102443602475
Roth (2007),19,Foil,creature,21,199877,0.1050646147380639,382,5536628,0.0689950634212737,5,66112,0.0756292352371732,26,3826525,0.006794676632,0.0641208975071277
Roth (2007),20,Target,desperation,0,199877,0.0,30,5536628,0.0054184604781105,0,66112,0.0,4,3826525,0.001045334866,0.001615948836027625
Roth (2007),20,Foil,desperately,0,199877,0.0,100,5536628,0.018061534927035,0,66112,0.0,6,3826525,0.0015680023,0.00490738430675875
Singson et al. (2000),21,Target,operation,1,199877,0.0050030768922887,110,5536628,0.0198676884197385,2,66112,0.0302516940948693,5,3826525,0.001306668583,0.014107281997474125
Singson et al. (2000),21,Foil,operational,0,199877,0.0,8,5536628,0.0014449227941628,0,66112,0.0,0,3826525,0.0,0.0003612306985407
Singson et al. (2000),21,Foil,operative,0,199877,0.0,5,5536628,0.0009030767463517,0,66112,0.0,0,3826525,0.0,0.000225769186587925
Singson et al. (2000),21,Foil,operationalize,0,199877,0.0,1,5536628,0.0001806153492703,0,66112,0.0,0,3826525,0.0,4.5153837317575e-05
Singson et al. (2000),22,Target,gratify,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),22,Foil,grateful,2,199877,0.0100061537845775,163,5536628,0.029440301931067,2,66112,0.0302516940948693,3,3826525,0.0007840011499,0.01762053774010345
Singson et al. (2000),22,Foil,gratuity,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),22,Foil,demonstrate,1,199877,0.0050030768922887,60,5536628,0.010836920956221,0,66112,0.0,1,3826525,0.0002613337166,0.0040253328912774255
Singson et al. (2000),23,Target,demonstrate,1,199877,0.0050030768922887,60,5536628,0.010836920956221,0,66112,0.0,1,3826525,0.0002613337166,0.0040253328912774255
Singson et al. (2000),23,Foil,demonstration,0,199877,0.0,56,5536628,0.0101144595591396,0,66112,0.0,5,3826525,0.001306668583,0.0028552820355349
Singson et al. (2000),23,Foil,demonstrative,0,199877,0.0,1,5536628,0.0001806153492703,0,66112,0.0,0,3826525,0.0,4.5153837317575e-05
Singson et al. (2000),23,Foil,demonstrable,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),24,Target,personality,1,199877,0.0050030768922887,117,5536628,0.0211319958646309,3,66112,0.0453775411423039,2,3826525,0.0005226674332,0.018008820333105875
Singson et al. (2000),24,Foil,personify,0,199877,0.0,0,5536628,0.0,0,66112,0.0,0,3826525,0.0,0.0
Singson et al. (2000),24,Foil,personalize,0,199877,0.0,6,5536628,0.0010836920956221,0,66112,0.0,0,3826525,0.0,0.000270923023905525
Singson et al. (2000),24,Foil,personal,2,199877,0.0100061537845775,400,5536628,0.07224613970814,5,66112,0.0756292352371732,6,3826525,0.0015680023,0.03986238275747268
Singson et al. (2000),25,Target,productive,0,199877,0.0,22,5536628,0.0039735376839477,0,66112,0.0,4,3826525,0.001045334866,0.001254718137486925
Singson et al. (2000),25,Foil,productivity,0,199877,0.0,6,5536628,0.0010836920956221,0,66112,0.0,0,3826525,0.0,0.000270923023905525
Singson et al. (2000),25,Foil,production,0,199877,0.0,76,5536628,0.0137267665445466,0,66112,0.0,3,3826525,0.0007840011499,0.00362769192361165
Singson et al. (2000),25,Foil,produce,0,199877,0.0,124,5536628,0.0223963033095234,0,66112,0.0,4,3826525,0.001045334866,0.00586040954388085
Singson et al. (2000),26,Target,fertilize,0,199877,0.0,5,5536628,0.0009030767463517,0,66112,0.0,0,3826525,0.0,0.000225769186587925
Singson et al. (2000),26,Foil,fertilization,0,199877,0.0,13,5536628,0.0023479995405145,0,66112,0.0,0,3826525,0.0,0.000586999885128625
Singson et al. (2000),26,Foil,fertility,0,199877,0.0,28,5536628,0.0050572297795698,0,66112,0.0,0,3826525,0.0,0.00126430744489245
Singson et al. (2000),26,Foil,fertilizer,0,199877,0.0,26,5536628,0.0046959990810291,0,66112,0.0,4,3826525,0.001045334866,0.0014353334867572751
