Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words,COCA Count,COCA Total Count,COCA Frequency per 1000 words,Movies Count,Movies Total Count,Movies Frequency per 1000 words,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words,Average Frequency per 1000 Words
Apel et al. (2012),1,Input,farm,52,199877,0.2601599983990154,480,5536628,0.086695367649768,9,66112,0.1361326234269119,446,3826525,0.1165548376,0.14988570676892382
Apel et al. (2012),1,Target,farmer,52,199877,0.2601599983990154,226,5536628,0.0408190689350991,0,66112,0.0,203,3826525,0.05305074447,0.08850745295102863
Apel et al. (2012),2,Input,ill,1,199877,0.0050030768922887,296,5536628,0.0534621433840236,143,66112,2.162996127783156,18,3826525,0.004704006899,0.5565413387396171
Apel et al. (2012),2,Target,illness,0,199877,0.0,138,5536628,0.0249249181993083,0,66112,0.0,3,3826525,0.0007840011499,0.006427229837302075
Apel et al. (2012),3,Input,quick,35,199877,0.1751076912301065,708,5536628,0.1278756672834078,9,66112,0.1361326234269119,275,3826525,0.07186677207,0.12774568850260656
Apel et al. (2012),3,Target,quickly,34,199877,0.1701046143378177,1220,5536628,0.2203507261098271,8,66112,0.1210067763794772,137,3826525,0.03580271918,0.1368162090017805
Apel et al. (2012),4,Input,nerve,0,199877,0.0,95,5536628,0.0171584581806832,5,66112,0.0756292352371732,4,3826525,0.001045334866,0.0234582570709641
Apel et al. (2012),4,Target,nervous,5,199877,0.0250153844614437,387,5536628,0.0698981401676255,10,66112,0.1512584704743465,41,3826525,0.01071468238,0.06422166937085393
Apel et al. (2012),5,Input,five,79,199877,0.3952430744908118,1920,5536628,0.3467814705990721,39,66112,0.5899080348499516,1965,3826525,0.5135207532,0.4613633332849588
Apel et al. (2012),5,Target,fifth,2,199877,0.0100061537845775,255,5536628,0.0460569140639392,1,66112,0.0151258470474346,60,3826525,0.015680023,0.021717234473987823
Apel et al. (2012),6,Input,swim,27,199877,0.1350830760917964,381,5536628,0.0688144480720033,2,66112,0.0302516940948693,351,3826525,0.09172813453,0.08146933819716726
Apel et al. (2012),6,Target,swimming,11,199877,0.0550338458151763,397,5536628,0.0717042936603289,2,66112,0.0302516940948693,575,3826525,0.1502668871,0.07681418016759363
Apel et al. (2012),7,Input,victory,0,199877,0.0,176,5536628,0.0317883014715816,5,66112,0.0756292352371732,2,3826525,0.0005226674332,0.0269850510354887
Apel et al. (2012),7,Target,victorious,1,199877,0.0050030768922887,12,5536628,0.0021673841912442,0,66112,0.0,0,3826525,0.0,0.001792615270883225
Apel et al. (2012),8,Input,music,17,199877,0.0850523071689088,872,5536628,0.1574965845637453,5,66112,0.0756292352371732,507,3826525,0.1324961943,0.11266858031745683
Apel et al. (2012),8,Target,musician,0,199877,0.0,40,5536628,0.007224613970814,0,66112,0.0,5,3826525,0.001306668583,0.0021328206384535
Apel et al. (2012),9,Input,accept,3,199877,0.0150092306768662,254,5536628,0.0458762987146689,14,66112,0.2117618586640851,5,3826525,0.001306668583,0.06848851415965504
Apel et al. (2012),9,Target,acceptable,0,199877,0.0,51,5536628,0.0092113828127878,1,66112,0.0151258470474346,2,3826525,0.0005226674332,0.0062149743233556
Apel et al. (2012),10,Input,begin,20,199877,0.1000615378457751,726,5536628,0.1311267435702741,4,66112,0.0605033881897386,58,3826525,0.01515735556,0.07671225629144694
Apel et al. (2012),10,Target,beginning,7,199877,0.0350215382460213,507,5536628,0.0915719820800675,2,66112,0.0302516940948693,149,3826525,0.03893872378,0.048945984550239525
Apel et al. (2012),11,Input,long,216,199877,1.0806646087343716,5091,5536628,0.9195127431353524,45,66112,0.6806631171345595,1937,3826525,0.5062034091,0.7967609695260708
Apel et al. (2012),11,Target,length,2,199877,0.0100061537845775,252,5536628,0.0455150680161282,1,66112,0.0151258470474346,10,3826525,0.002613337166,0.018315101503535075
Apel et al. (2012),12,Input,friend,109,199877,0.5453353812594746,2595,5536628,0.4686968313565585,23,66112,0.347894482090997,863,3826525,0.2255309974,0.3968644230267575
Apel et al. (2012),12,Target,friendly,15,199877,0.0750461533843313,303,5536628,0.054726450828916,1,66112,0.0151258470474346,61,3826525,0.01594135671,0.040209951992670474
Apel et al. (2012),13,Input,warm,70,199877,0.350215382460213,1030,5536628,0.1860338097484606,6,66112,0.0907550822846079,476,3826525,0.1243948491,0.18784978089832038
Apel et al. (2012),13,Target,warmth,2,199877,0.0100061537845775,125,5536628,0.0225769186587937,0,66112,0.0,3,3826525,0.0007840011499,0.008341768398317802
Apel et al. (2012),14,Input,teach,16,199877,0.0800492302766201,629,5536628,0.1136070546910502,8,66112,0.1210067763794772,162,3826525,0.04233606209,0.08924978085928688
Apel et al. (2012),14,Target,teacher,31,199877,0.1550953836609515,1116,5536628,0.2015667297857107,5,66112,0.0756292352371732,418,3826525,0.1092374935,0.13538221054595884
Apel et al. (2012),15,Input,permit,0,199877,0.0,46,5536628,0.0083083060664361,0,66112,0.0,0,3826525,0.0,0.002077076516609025
Apel et al. (2012),15,Target,permission,0,199877,0.0,177,5536628,0.0319689168208519,2,66112,0.0302516940948693,8,3826525,0.002090669733,0.0160778201621803
Apel et al. (2012),16,Input,appear,3,199877,0.0150092306768662,282,5536628,0.0509335284942387,2,66112,0.0302516940948693,11,3826525,0.002874670883,0.02476728103724355
Apel et al. (2012),16,Target,appearance,0,199877,0.0,129,5536628,0.0232993800558751,0,66112,0.0,1,3826525,0.0002613337166,0.0058901784431187754
Apel et al. (2012),17,Input,remark,0,199877,0.0,51,5536628,0.0092113828127878,1,66112,0.0151258470474346,0,3826525,0.0,0.0060843074650556
Apel et al. (2012),17,Target,remarkable,0,199877,0.0,73,5536628,0.0131849204967355,0,66112,0.0,3,3826525,0.0007840011499,0.0034922304116588748
Apel et al. (2012),18,Input,protect,4,199877,0.020012307569155,509,5536628,0.0919332127786082,2,66112,0.0302516940948693,54,3826525,0.0141120207,0.03907730878565813
Apel et al. (2012),18,Target,protection,0,199877,0.0,229,5536628,0.0413609149829101,0,66112,0.0,1,3826525,0.0002613337166,0.010405562174877524
Apel et al. (2012),19,Input,revise,0,199877,0.0,5,5536628,0.0009030767463517,0,66112,0.0,0,3826525,0.0,0.000225769186587925
Apel et al. (2012),19,Target,revision,0,199877,0.0,2,5536628,0.0003612306985407,0,66112,0.0,0,3826525,0.0,9.0307674635175e-05
Apel et al. (2012),20,Input,deep,66,199877,0.330203074891058,1344,5536628,0.2427470294193505,3,66112,0.0453775411423039,131,3826525,0.03423471688,0.1631405905831781
Apel et al. (2012),20,Target,depth,2,199877,0.0100061537845775,44,5536628,0.0079470753678954,0,66112,0.0,0,3826525,0.0,0.004488307288118225
Apel et al. (2012),21,Input,active,1,199877,0.0050030768922887,252,5536628,0.0455150680161282,1,66112,0.0151258470474346,5,3826525,0.001306668583,0.016737665134712875
Apel et al. (2012),21,Target,activity,1,199877,0.0050030768922887,373,5536628,0.0673695252778406,1,66112,0.0151258470474346,13,3826525,0.003397338316,0.022723946883390973
Apel et al. (2012),22,Input,wash,15,199877,0.0750461533843313,429,5536628,0.0774839848369802,1,66112,0.0151258470474346,920,3826525,0.2404270193,0.10202075114218653
Apel et al. (2012),22,Target,washer,0,199877,0.0,14,5536628,0.0025286148897849,0,66112,0.0,12,3826525,0.003136004599,0.0014161548721962252
Carlisle (2000),25,Input,warm,70,199877,0.350215382460213,1030,5536628,0.1860338097484606,6,66112,0.0907550822846079,476,3826525,0.1243948491,0.18784978089832038
Carlisle (2000),25,Target,warmth,2,199877,0.0100061537845775,125,5536628,0.0225769186587937,0,66112,0.0,3,3826525,0.0007840011499,0.008341768398317802
Carlisle (2000),26,Input,teach,16,199877,0.0800492302766201,629,5536628,0.1136070546910502,8,66112,0.1210067763794772,162,3826525,0.04233606209,0.08924978085928688
Carlisle (2000),26,Target,teacher,31,199877,0.1550953836609515,1116,5536628,0.2015667297857107,5,66112,0.0756292352371732,418,3826525,0.1092374935,0.13538221054595884
Carlisle (2000),27,Input,permit,0,199877,0.0,46,5536628,0.0083083060664361,0,66112,0.0,0,3826525,0.0,0.002077076516609025
Carlisle (2000),27,Target,permission,0,199877,0.0,177,5536628,0.0319689168208519,2,66112,0.0302516940948693,8,3826525,0.002090669733,0.0160778201621803
Carlisle (2000),28,Input,profit,1,199877,0.0050030768922887,55,5536628,0.0099338442098692,0,66112,0.0,1,3826525,0.0002613337166,0.0037995637046894753
Carlisle (2000),28,Target,profitable,0,199877,0.0,12,5536628,0.0021673841912442,0,66112,0.0,0,3826525,0.0,0.00054184604781105
Carlisle (2000),29,Input,appear,3,199877,0.0150092306768662,282,5536628,0.0509335284942387,2,66112,0.0302516940948693,11,3826525,0.002874670883,0.02476728103724355
Carlisle (2000),29,Target,appearance,0,199877,0.0,129,5536628,0.0232993800558751,0,66112,0.0,1,3826525,0.0002613337166,0.0058901784431187754
Carlisle (2000),30,Input,express,1,199877,0.0050030768922887,164,5536628,0.0296209172803374,0,66112,0.0,28,3826525,0.007317344065,0.010485334559406525
Carlisle (2000),30,Target,expression,0,199877,0.0,239,5536628,0.0431670684756136,1,66112,0.0151258470474346,14,3826525,0.003658672033,0.01548789688901205
Carlisle (2000),31,Input,four,97,199877,0.4852984585520095,2329,5536628,0.4206531484506454,18,66112,0.2722652468538238,1855,3826525,0.4847740443,0.4157477245391197
Carlisle (2000),31,Target,fourth,6,199877,0.0300184613537325,320,5536628,0.057796911766512,1,66112,0.0151258470474346,64,3826525,0.01672535786,0.029916644506919773
Carlisle (2000),32,Input,remark,0,199877,0.0,51,5536628,0.0092113828127878,1,66112,0.0151258470474346,0,3826525,0.0,0.0060843074650556
