Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words
Apel et al. (2012),1,Input,farm,52,199877,0.26015999839901544
Apel et al. (2012),1,Target,farmer,52,199877,0.26015999839901544
Apel et al. (2012),2,Input,ill,1,199877,0.005003076892288758
Apel et al. (2012),2,Target,illness,0,199877,0.0
Apel et al. (2012),3,Input,quick,35,199877,0.17510769123010653
Apel et al. (2012),3,Target,quickly,34,199877,0.17010461433781776
Apel et al. (2012),4,Input,nerve,0,199877,0.0
Apel et al. (2012),4,Target,nervous,5,199877,0.025015384461443788
Apel et al. (2012),5,Input,five,79,199877,0.3952430744908118
Apel et al. (2012),5,Target,fifth,2,199877,0.010006153784577516
Apel et al. (2012),6,Input,swim,27,199877,0.13508307609179646
Apel et al. (2012),6,Target,swimming,11,199877,0.055033845815176334
Apel et al. (2012),7,Input,victory,0,199877,0.0
Apel et al. (2012),7,Target,victorious,1,199877,0.005003076892288758
Apel et al. (2012),8,Input,music,17,199877,0.08505230716890888
Apel et al. (2012),8,Target,musician,0,199877,0.0
Apel et al. (2012),9,Input,accept,3,199877,0.015009230676866273
Apel et al. (2012),9,Target,acceptable,0,199877,0.0
Apel et al. (2012),10,Input,begin,20,199877,0.10006153784577515
Apel et al. (2012),10,Target,beginning,7,199877,0.035021538246021305
Apel et al. (2012),11,Input,long,216,199877,1.0806646087343716
Apel et al. (2012),11,Target,length,2,199877,0.010006153784577516
Apel et al. (2012),12,Input,friend,109,199877,0.5453353812594746
Apel et al. (2012),12,Target,friendly,15,199877,0.07504615338433136
Apel et al. (2012),13,Input,warm,70,199877,0.35021538246021305
Apel et al. (2012),13,Target,warmth,2,199877,0.010006153784577516
Apel et al. (2012),14,Input,teach,16,199877,0.08004923027662013
Apel et al. (2012),14,Target,teacher,31,199877,0.1550953836609515
Apel et al. (2012),15,Input,permit,0,199877,0.0
Apel et al. (2012),15,Target,permission,0,199877,0.0
Apel et al. (2012),16,Input,appear,3,199877,0.015009230676866273
Apel et al. (2012),16,Target,appearance,0,199877,0.0
Apel et al. (2012),17,Input,remark,0,199877,0.0
Apel et al. (2012),17,Target,remarkable,0,199877,0.0
Apel et al. (2012),18,Input,protect,4,199877,0.020012307569155032
Apel et al. (2012),18,Target,protection,0,199877,0.0
Apel et al. (2012),19,Input,revise,0,199877,0.0
Apel et al. (2012),19,Target,revision,0,199877,0.0
Apel et al. (2012),20,Input,deep,66,199877,0.330203074891058
Apel et al. (2012),20,Target,depth,2,199877,0.010006153784577516
Apel et al. (2012),21,Input,active,1,199877,0.005003076892288758
Apel et al. (2012),21,Target,activity,1,199877,0.005003076892288758
Apel et al. (2012),22,Input,wash,15,199877,0.07504615338433136
Apel et al. (2012),22,Target,washer,0,199877,0.0
Carlisle (2000),25,Input,warm,70,199877,0.35021538246021305
Carlisle (2000),25,Target,warmth,2,199877,0.010006153784577516
Carlisle (2000),26,Input,teach,16,199877,0.08004923027662013
Carlisle (2000),26,Target,teacher,31,199877,0.1550953836609515
Carlisle (2000),27,Input,permit,0,199877,0.0
Carlisle (2000),27,Target,permission,0,199877,0.0
Carlisle (2000),28,Input,profit,1,199877,0.005003076892288758
Carlisle (2000),28,Target,profitable,0,199877,0.0
Carlisle (2000),29,Input,appear,3,199877,0.015009230676866273
Carlisle (2000),29,Target,appearance,0,199877,0.0
Carlisle (2000),30,Input,express,1,199877,0.005003076892288758
Carlisle (2000),30,Target,expression,0,199877,0.0
Carlisle (2000),31,Input,four,97,199877,0.4852984585520095
Carlisle (2000),31,Target,fourth,6,199877,0.030018461353732546
Carlisle (2000),32,Input,remark,0,199877,0.0
Carlisle (2000),32,Target,remarkable,0,199877,0.0
Carlisle (2000),33,Input,protect,4,199877,0.020012307569155032
Carlisle (2000),33,Target,protection,0,199877,0.0
Carlisle (2000),34,Input,perform,2,199877,0.010006153784577516
Carlisle (2000),34,Target,performance,3,199877,0.015009230676866273
Carlisle (2000),35,Input,expand,0,199877,0.0
Carlisle (2000),35,Target,expansion,0,199877,0.0
Carlisle (2000),36,Input,revise,0,199877,0.0
Carlisle (2000),36,Target,revision,0,199877,0.0
Carlisle (2000),37,Input,reason,7,199877,0.035021538246021305
Carlisle (2000),37,Target,reasonable,0,199877,0.0
Carlisle (2000),38,Input,major,2,199877,0.010006153784577516
Carlisle (2000),38,Target,majority,0,199877,0.0
Carlisle (2000),39,Input,deep,66,199877,0.330203074891058
Carlisle (2000),39,Target,depth,2,199877,0.010006153784577516
Carlisle (2000),40,Input,equal,0,199877,0.0
Carlisle (2000),40,Target,equality,0,199877,0.0
Carlisle (2000),41,Input,long,216,199877,1.0806646087343716
Carlisle (2000),41,Target,length,2,199877,0.010006153784577516
Carlisle (2000),42,Input,adventure,7,199877,0.035021538246021305
Carlisle (2000),42,Target,adventurous,2,199877,0.010006153784577516
Carlisle (2000),43,Input,absorb,0,199877,0.0
Carlisle (2000),43,Target,absorption,0,199877,0.0
Carlisle (2000),44,Input,active,1,199877,0.005003076892288758
Carlisle (2000),44,Target,activity,1,199877,0.005003076892288758
Carlisle (2000),45,Input,swim,27,199877,0.13508307609179646
Carlisle (2000),45,Target,swimmer,0,199877,0.0
Carlisle (2000),46,Input,human,0,199877,0.0
Carlisle (2000),46,Target,humanity,0,199877,0.0
Carlisle (2000),47,Input,wash,15,199877,0.07504615338433136
Carlisle (2000),47,Target,washer,0,199877,0.0
Carlisle (2000),48,Input,humor,0,199877,0.0
Carlisle (2000),48,Target,humorous,0,199877,0.0
Carlisle (2000),49,Input,assist,0,199877,0.0
Carlisle (2000),49,Target,assistance,0,199877,0.0
Carlisle (2000),50,Input,mystery,3,199877,0.015009230676866273
Carlisle (2000),50,Target,mysterious,3,199877,0.015009230676866273
Carlisle (2000),51,Input,produce,0,199877,0.0
Carlisle (2000),51,Target,production,0,199877,0.0
Carlisle (2000),52,Input,glory,9,199877,0.045027692030598816
Carlisle (2000),52,Target,glorious,2,199877,0.010006153784577516
Carlisle (2000),53,Input,driver,37,199877,0.18511384501468403
Carlisle (2000),53,Target,drive,27,199877,0.13508307609179646
Carlisle (2000),54,Input,improvement,1,199877,0.005003076892288758
Carlisle (2000),54,Target,improve,0,199877,0.0
Carlisle (2000),55,Input,growth,0,199877,0.0
Carlisle (2000),55,Target,grow,41,199877,0.20512615258383907
Carlisle (2000),56,Input,dryer,0,199877,0.0
Carlisle (2000),56,Target,dry,19,199877,0.0950584609534864
Carlisle (2000),57,Input,variable,0,199877,0.0
Carlisle (2000),57,Target,vary,0,199877,0.0
Carlisle (2000),58,Input,width,0,199877,0.0
Carlisle (2000),58,Target,wide,39,199877,0.19511999879926153
Carlisle (2000),59,Input,density,0,199877,0.0
Carlisle (2000),59,Target,dense,0,199877,0.0
Carlisle (2000),60,Input,discussion,1,199877,0.005003076892288758
Carlisle (2000),60,Target,discuss,0,199877,0.0
Carlisle (2000),61,Input,famous,5,199877,0.025015384461443788
Carlisle (2000),61,Target,fame,2,199877,0.010006153784577516
Carlisle (2000),62,Input,description,0,199877,0.0
Carlisle (2000),62,Target,describe,0,199877,0.0
Carlisle (2000),63,Input,fifth,2,199877,0.010006153784577516
Carlisle (2000),63,Target,five,79,199877,0.3952430744908118
Carlisle (2000),64,Input,election,0,199877,0.0
Carlisle (2000),64,Target,elect,0,199877,0.0
Carlisle (2000),65,Input,strength,1,199877,0.005003076892288758
Carlisle (2000),65,Target,strong,42,199877,0.21012922947612783
Carlisle (2000),66,Input,decision,1,199877,0.005003076892288758
Carlisle (2000),66,Target,decide,8,199877,0.040024615138310064
Carlisle (2000),67,Input,popularity,0,199877,0.0
Carlisle (2000),67,Target,popular,2,199877,0.010006153784577516
Carlisle (2000),68,Input,runner,0,199877,0.0
Carlisle (2000),68,Target,run,76,199877,0.3802338438139456
Carlisle (2000),69,Input,publicity,0,199877,0.0
Carlisle (2000),69,Target,public,2,199877,0.010006153784577516
Carlisle (2000),70,Input,difference,2,199877,0.010006153784577516
Carlisle (2000),70,Target,differ,0,199877,0.0
Carlisle (2000),71,Input,originality,0,199877,0.0
Carlisle (2000),71,Target,original,1,199877,0.005003076892288758
Carlisle (2000),72,Input,agreeable,1,199877,0.005003076892288758
Carlisle (2000),72,Target,agree,3,199877,0.015009230676866273
Carlisle (2000),73,Input,courageous,1,199877,0.005003076892288758
Carlisle (2000),73,Target,courage,1,199877,0.005003076892288758
Carlisle (2000),74,Input,admission,0,199877,0.0
Carlisle (2000),74,Target,admit,0,199877,0.0
Carlisle (2000),75,Input,dangerous,12,199877,0.06003692270746509
Carlisle (2000),75,Target,danger,7,199877,0.035021538246021305
Carlisle (2000),76,Input,reduction,0,199877,0.0
Carlisle (2000),76,Target,reduce,0,199877,0.0
Carlisle (2000),77,Input,baker,16,199877,0.08004923027662013
Carlisle (2000),77,Target,bake,6,199877,0.030018461353732546
Carlisle (2000),78,Input,division,0,199877,0.0
Carlisle (2000),78,Target,divide,0,199877,0.0
Carlisle (2000),79,Input,guidance,0,199877,0.0
Carlisle (2000),79,Target,guide,1,199877,0.005003076892288758
Carlisle (2000),80,Input,continuous,0,199877,0.0
Carlisle (2000),80,Target,continue,0,199877,0.0
Carlisle (2000),81,Input,reliable,1,199877,0.005003076892288758
Carlisle (2000),81,Target,rely,0,199877,0.0
Carlisle (2000),82,Input,acceptance,0,199877,0.0
Carlisle (2000),82,Target,accept,3,199877,0.015009230676866273
Kieffer & Lesaux (2008),85,Input,growth,0,199877,0.0
Kieffer & Lesaux (2008),85,Target,grow,41,199877,0.20512615258383907
Kieffer & Lesaux (2008),86,Input,dryer,0,199877,0.0
Kieffer & Lesaux (2008),86,Target,dry,19,199877,0.0950584609534864
Kieffer & Lesaux (2008),87,Input,width,0,199877,0.0
Kieffer & Lesaux (2008),87,Target,wide,39,199877,0.19511999879926153
Kieffer & Lesaux (2008),88,Input,density,0,199877,0.0
Kieffer & Lesaux (2008),88,Target,dense,0,199877,0.0
Kieffer & Lesaux (2008),89,Input,discussion,1,199877,0.005003076892288758
Kieffer & Lesaux (2008),89,Target,discuss,0,199877,0.0
Kieffer & Lesaux (2008),90,Input,famous,5,199877,0.025015384461443788
Kieffer & Lesaux (2008),90,Target,fame,2,199877,0.010006153784577516
Kieffer & Lesaux (2008),91,Input,fifth,2,199877,0.010006153784577516
Kieffer & Lesaux (2008),91,Target,five,79,199877,0.3952430744908118
Kieffer & Lesaux (2008),92,Input,strength,1,199877,0.005003076892288758
Kieffer & Lesaux (2008),92,Target,strong,42,199877,0.21012922947612783
Kieffer & Lesaux (2008),93,Input,decision,1,199877,0.005003076892288758
Kieffer & Lesaux (2008),93,Target,decide,8,199877,0.040024615138310064
Kieffer & Lesaux (2008),94,Input,popularity,0,199877,0.0
Kieffer & Lesaux (2008),94,Target,popular,2,199877,0.010006153784577516
Kieffer & Lesaux (2008),95,Input,runner,0,199877,0.0
Kieffer & Lesaux (2008),95,Target,run,76,199877,0.3802338438139456
Kieffer & Lesaux (2008),96,Input,availability,0,199877,0.0
Kieffer & Lesaux (2008),96,Target,available,0,199877,0.0
Kieffer & Lesaux (2008),97,Input,glorious,2,199877,0.010006153784577516
Kieffer & Lesaux (2008),97,Target,glory,9,199877,0.045027692030598816
Kieffer & Lesaux (2008),98,Input,originality,0,199877,0.0
Kieffer & Lesaux (2008),98,Target,original,1,199877,0.005003076892288758
Kieffer & Lesaux (2008),99,Input,courageous,1,199877,0.005003076892288758
Kieffer & Lesaux (2008),99,Target,courage,1,199877,0.005003076892288758
Kieffer & Lesaux (2008),100,Input,admission,0,199877,0.0
Kieffer & Lesaux (2008),100,Target,admit,0,199877,0.0
Kieffer & Lesaux (2008),101,Input,baker,16,199877,0.08004923027662013
Kieffer & Lesaux (2008),101,Target,bake,6,199877,0.030018461353732546
Kieffer & Lesaux (2008),102,Input,division,0,199877,0.0
Kieffer & Lesaux (2008),102,Target,divide,0,199877,0.0
Kieffer & Lesaux (2008),103,Input,fourth,6,199877,0.030018461353732546
Kieffer & Lesaux (2008),103,Target,four,97,199877,0.4852984585520095
Kieffer & Lesaux (2008),104,Input,continuous,0,199877,0.0
Kieffer & Lesaux (2008),104,Target,continue,0,199877,0.0
Kieffer & Lesaux (2008),105,Input,swimmer,0,199877,0.0
Kieffer & Lesaux (2008),105,Target,swim,27,199877,0.13508307609179646
Kieffer & Lesaux (2008),106,Input,furious,4,199877,0.020012307569155032
Kieffer & Lesaux (2008),106,Target,fury,0,199877,0.0
Kieffer & Lesaux (2008),107,Input,teacher,31,199877,0.1550953836609515
Kieffer & Lesaux (2008),107,Target,teach,16,199877,0.08004923027662013
Kieffer & Lesaux (2008),108,Input,activity,1,199877,0.005003076892288758
Kieffer & Lesaux (2008),108,Target,active,1,199877,0.005003076892288758
Kieffer & Lesaux (2008),109,Input,possession,0,199877,0.0
Kieffer & Lesaux (2008),109,Target,possess,1,199877,0.005003076892288758
Kruk & Bergman (2013),110,Input,needed,29,199877,0.145089229876374
Kruk & Bergman (2013),110,Target,need,137,199877,0.6854215342435599
Kruk & Bergman (2013),111,Input,owner,2,199877,0.010006153784577516
Kruk & Bergman (2013),111,Target,own,97,199877,0.4852984585520095
Kruk & Bergman (2013),112,Input,decision,1,199877,0.005003076892288758
Kruk & Bergman (2013),112,Target,decide,8,199877,0.040024615138310064
Kruk & Bergman (2013),113,Input,flowers,27,199877,0.13508307609179646
Kruk & Bergman (2013),113,Target,flower,14,199877,0.07004307649204261
Kruk & Bergman (2013),114,Input,cutting,3,199877,0.015009230676866273
Kruk & Bergman (2013),114,Target,cut,23,199877,0.11507076852264142
Kruk & Bergman (2013),115,Input,running,62,199877,0.310190767321903
Kruk & Bergman (2013),115,Target,run,76,199877,0.3802338438139456
Kruk & Bergman (2013),116,Input,walked,73,199877,0.36522461313707927
Kruk & Bergman (2013),116,Target,walk,61,199877,0.3051876904296142
Kruk & Bergman (2013),117,Input,friends,160,199877,0.8004923027662012
Kruk & Bergman (2013),117,Target,friend,109,199877,0.5453353812594746
Kruk & Bergman (2013),118,Input,wanted,96,199877,0.48029538165972074
Kruk & Bergman (2013),118,Target,want,158,199877,0.7904861489816236
Kruk & Bergman (2013),119,Input,glasses,4,199877,0.020012307569155032
Kruk & Bergman (2013),119,Target,glass,11,199877,0.055033845815176334
Kruk & Bergman (2013),120,Input,popularity,0,199877,0.0
Kruk & Bergman (2013),120,Target,popular,2,199877,0.010006153784577516
Kruk & Bergman (2013),121,Input,dirty,28,199877,0.14008615298408522
Kruk & Bergman (2013),121,Target,dirt,37,199877,0.18511384501468403
Kruk & Bergman (2013),122,Input,reader,1,199877,0.005003076892288758
Kruk & Bergman (2013),122,Target,read,53,199877,0.2651630752913042
Kruk & Bergman (2013),123,Input,babies,106,199877,0.5303261505826083
Kruk & Bergman (2013),123,Target,baby,419,199877,2.096289217868989
Kruk & Bergman (2013),124,Input,books,91,199877,0.45527999719827694
Kruk & Bergman (2013),124,Target,book,88,199877,0.4402707665214107
Kruk & Bergman (2013),125,Input,acceptance,0,199877,0.0
Kruk & Bergman (2013),125,Target,accept,3,199877,0.015009230676866273
Kruk & Bergman (2013),126,Input,growth,0,199877,0.0
Kruk & Bergman (2013),126,Target,grow,41,199877,0.20512615258383907
Kruk & Bergman (2013),127,Input,dryer,0,199877,0.0
Kruk & Bergman (2013),127,Target,dry,19,199877,0.0950584609534864
Kruk & Bergman (2013),128,Input,density,0,199877,0.0
Kruk & Bergman (2013),128,Target,dense,0,199877,0.0
Kruk & Bergman (2013),129,Input,agreement,0,199877,0.0
Kruk & Bergman (2013),129,Target,agree,3,199877,0.015009230676866273
Kruk & Bergman (2013),130,Input,believe,16,199877,0.08004923027662013
Kruk & Bergman (2013),130,Target,belief,1,199877,0.005003076892288758
Kruk & Bergman (2013),131,Input,carried,22,199877,0.11006769163035267
Kruk & Bergman (2013),131,Target,carry,10,199877,0.050030768922887575
Kruk & Bergman (2013),132,Input,strength,1,199877,0.005003076892288758
Kruk & Bergman (2013),132,Target,strong,42,199877,0.21012922947612783
Kruk & Bergman (2013),133,Input,fifth,2,199877,0.010006153784577516
Kruk & Bergman (2013),133,Target,five,79,199877,0.3952430744908118
Kruk & Bergman (2013),134,Input,leaves,35,199877,0.17510769123010653
Kruk & Bergman (2013),134,Target,leaf,16,199877,0.08004923027662013
Kruk & Bergman (2013),135,Input,discussion,1,199877,0.005003076892288758
Kruk & Bergman (2013),135,Target,discuss,0,199877,0.0
Kruk & Bergman (2013),136,Input,description,0,199877,0.0
Kruk & Bergman (2013),136,Target,describe,0,199877,0.0
Kruk & Bergman (2013),137,Input,enter,2,199877,0.010006153784577516
Kruk & Bergman (2013),137,Target,entered,2,199877,0.010006153784577516
Kruk & Bergman (2013),138,Input,sing,69,199877,0.34521230556792426
Kruk & Bergman (2013),138,Target,singer,1,199877,0.005003076892288758
Kruk & Bergman (2013),139,Input,try,77,199877,0.38523692070623433
Kruk & Bergman (2013),139,Target,tried,73,199877,0.36522461313707927
Kruk & Bergman (2013),140,Input,tree,251,199877,1.2557722999644783
Kruk & Bergman (2013),140,Target,trees,88,199877,0.4402707665214107
Kruk & Bergman (2013),141,Input,stop,127,199877,0.6353907653206722
Kruk & Bergman (2013),141,Target,stopped,65,199877,0.32519999799876925
Kruk & Bergman (2013),142,Input,egg,44,199877,0.22013538326070534
Kruk & Bergman (2013),142,Target,eggs,55,199877,0.27516922907588165
Kruk & Bergman (2013),143,Input,perform,2,199877,0.010006153784577516
Kruk & Bergman (2013),143,Target,performance,3,199877,0.015009230676866273
Kruk & Bergman (2013),144,Input,sun,155,199877,0.7754769183047574
Kruk & Bergman (2013),144,Target,sunny,23,199877,0.11507076852264142
Kruk & Bergman (2013),145,Input,car,105,199877,0.5253230736903195
Kruk & Bergman (2013),145,Target,cars,61,199877,0.3051876904296142
Kruk & Bergman (2013),146,Input,ask,44,199877,0.22013538326070534
Kruk & Bergman (2013),146,Target,asked,251,199877,1.2557722999644783
Kruk & Bergman (2013),147,Input,warm,70,199877,0.35021538246021305
Kruk & Bergman (2013),147,Target,warmth,2,199877,0.010006153784577516
Kruk & Bergman (2013),148,Input,fish,133,199877,0.6654092266744048
Kruk & Bergman (2013),148,Target,fishing,11,199877,0.055033845815176334
Kruk & Bergman (2013),149,Input,wish,43,199877,0.21513230636841657
Kruk & Bergman (2013),149,Target,wishes,5,199877,0.025015384461443788
Kruk & Bergman (2013),150,Input,come,282,199877,1.4108676836254297
Kruk & Bergman (2013),150,Target,coming,92,199877,0.4602830740905657
Kruk & Bergman (2013),151,Input,assist,0,199877,0.0
Kruk & Bergman (2013),151,Target,assistance,0,199877,0.0
Kruk & Bergman (2013),152,Input,human,0,199877,0.0
Kruk & Bergman (2013),152,Target,humanity,0,199877,0.0
Kruk & Bergman (2013),153,Input,teach,16,199877,0.08004923027662013
Kruk & Bergman (2013),153,Target,teacher,31,199877,0.1550953836609515
Kruk & Bergman (2013),154,Input,profit,1,199877,0.005003076892288758
Kruk & Bergman (2013),154,Target,profitable,0,199877,0.0
Kruk & Bergman (2013),155,Input,appear,3,199877,0.015009230676866273
Kruk & Bergman (2013),155,Target,appearance,0,199877,0.0
Kruk & Bergman (2013),156,Input,body,16,199877,0.08004923027662013
Kruk & Bergman (2013),156,Target,bodies,2,199877,0.010006153784577516
Kruk & Bergman (2013),157,Input,deep,66,199877,0.330203074891058
Kruk & Bergman (2013),157,Target,depth,2,199877,0.010006153784577516
Kruk & Bergman (2013),158,Input,life,47,199877,0.2351446139375716
Kruk & Bergman (2013),158,Target,live,39,199877,0.19511999879926153
Kruk & Bergman (2013),159,Input,dead,6,199877,0.030018461353732546
Kruk & Bergman (2013),159,Target,death,3,199877,0.015009230676866273
Kruk & Bergman (2013),160,Input,permit,0,199877,0.0
Kruk & Bergman (2013),160,Target,permission,0,199877,0.0
Kruk & Bergman (2013),161,Input,shelf,14,199877,0.07004307649204261
Kruk & Bergman (2013),161,Target,shelves,3,199877,0.015009230676866273
Kruk & Bergman (2013),162,Input,protect,4,199877,0.020012307569155032
Kruk & Bergman (2013),162,Target,protection,0,199877,0.0
Kruk & Bergman (2013),163,Input,active,1,199877,0.005003076892288758
Kruk & Bergman (2013),163,Target,activity,1,199877,0.005003076892288758
Lam (2009),167,Input,growth,0,199877,0.0
Lam (2009),167,Target,grow,41,199877,0.20512615258383907
Lam (2009),168,Input,density,0,199877,0.0
Lam (2009),168,Target,dense,0,199877,0.0
Lam (2009),169,Input,description,0,199877,0.0
Lam (2009),169,Target,describe,0,199877,0.0
