Reference,Item number,Type,Word,Movies Count,Movies Total Count,Movies Frequency per 1000 words
Apel et al. (2012),1,Input,farm,9,66112,0.13613262342691193
Apel et al. (2012),1,Target,farmer,0,66112,0.0
Apel et al. (2012),2,Input,ill,143,66112,2.1629961277831558
Apel et al. (2012),2,Target,illness,0,66112,0.0
Apel et al. (2012),3,Input,quick,9,66112,0.13613262342691193
Apel et al. (2012),3,Target,quickly,8,66112,0.12100677637947725
Apel et al. (2012),4,Input,nerve,5,66112,0.07562923523717328
Apel et al. (2012),4,Target,nervous,10,66112,0.15125847047434657
Apel et al. (2012),5,Input,five,39,66112,0.5899080348499516
Apel et al. (2012),5,Target,fifth,1,66112,0.015125847047434656
Apel et al. (2012),6,Input,swim,2,66112,0.030251694094869313
Apel et al. (2012),6,Target,swimming,2,66112,0.030251694094869313
Apel et al. (2012),7,Input,victory,5,66112,0.07562923523717328
Apel et al. (2012),7,Target,victorious,0,66112,0.0
Apel et al. (2012),8,Input,music,5,66112,0.07562923523717328
Apel et al. (2012),8,Target,musician,0,66112,0.0
Apel et al. (2012),9,Input,accept,14,66112,0.21176185866408517
Apel et al. (2012),9,Target,acceptable,1,66112,0.015125847047434656
Apel et al. (2012),10,Input,begin,4,66112,0.060503388189738626
Apel et al. (2012),10,Target,beginning,2,66112,0.030251694094869313
Apel et al. (2012),11,Input,long,45,66112,0.6806631171345595
Apel et al. (2012),11,Target,length,1,66112,0.015125847047434656
Apel et al. (2012),12,Input,friend,23,66112,0.34789448209099705
Apel et al. (2012),12,Target,friendly,1,66112,0.015125847047434656
Apel et al. (2012),13,Input,warm,6,66112,0.09075508228460794
Apel et al. (2012),13,Target,warmth,0,66112,0.0
Apel et al. (2012),14,Input,teach,8,66112,0.12100677637947725
Apel et al. (2012),14,Target,teacher,5,66112,0.07562923523717328
Apel et al. (2012),15,Input,permit,0,66112,0.0
Apel et al. (2012),15,Target,permission,2,66112,0.030251694094869313
Apel et al. (2012),16,Input,appear,2,66112,0.030251694094869313
Apel et al. (2012),16,Target,appearance,0,66112,0.0
Apel et al. (2012),17,Input,remark,1,66112,0.015125847047434656
Apel et al. (2012),17,Target,remarkable,0,66112,0.0
Apel et al. (2012),18,Input,protect,2,66112,0.030251694094869313
Apel et al. (2012),18,Target,protection,0,66112,0.0
Apel et al. (2012),19,Input,revise,0,66112,0.0
Apel et al. (2012),19,Target,revision,0,66112,0.0
Apel et al. (2012),20,Input,deep,3,66112,0.04537754114230397
Apel et al. (2012),20,Target,depth,0,66112,0.0
Apel et al. (2012),21,Input,active,1,66112,0.015125847047434656
Apel et al. (2012),21,Target,activity,1,66112,0.015125847047434656
Apel et al. (2012),22,Input,wash,1,66112,0.015125847047434656
Apel et al. (2012),22,Target,washer,0,66112,0.0
Carlisle (2000),25,Input,warm,6,66112,0.09075508228460794
Carlisle (2000),25,Target,warmth,0,66112,0.0
Carlisle (2000),26,Input,teach,8,66112,0.12100677637947725
Carlisle (2000),26,Target,teacher,5,66112,0.07562923523717328
Carlisle (2000),27,Input,permit,0,66112,0.0
Carlisle (2000),27,Target,permission,2,66112,0.030251694094869313
Carlisle (2000),28,Input,profit,0,66112,0.0
Carlisle (2000),28,Target,profitable,0,66112,0.0
Carlisle (2000),29,Input,appear,2,66112,0.030251694094869313
Carlisle (2000),29,Target,appearance,0,66112,0.0
Carlisle (2000),30,Input,express,0,66112,0.0
Carlisle (2000),30,Target,expression,1,66112,0.015125847047434656
Carlisle (2000),31,Input,four,18,66112,0.27226524685382386
Carlisle (2000),31,Target,fourth,1,66112,0.015125847047434656
Carlisle (2000),32,Input,remark,1,66112,0.015125847047434656
Carlisle (2000),32,Target,remarkable,0,66112,0.0
Carlisle (2000),33,Input,protect,2,66112,0.030251694094869313
Carlisle (2000),33,Target,protection,0,66112,0.0
Carlisle (2000),34,Input,perform,1,66112,0.015125847047434656
Carlisle (2000),34,Target,performance,0,66112,0.0
Carlisle (2000),35,Input,expand,1,66112,0.015125847047434656
Carlisle (2000),35,Target,expansion,0,66112,0.0
